level_0,index,ISO Code,dt,CO2,population,delta,AverageTemperature,footprint
4667,4667,IRQ,1983,2.6136341883727066,14825789.0,0.22308,21.53483333333333,19936898.494863197
4668,4668,IRQ,1984,2.6441080764126084,15205501.0,0.53025,21.842,22578029.2065683
4669,4669,IRQ,1985,2.8681258404142937,15576395.0,0.89125,22.203000000000007,25737888.7613125
4670,4670,IRQ,1986,2.99639497690033,15936375.0,1.01258,22.324333333333332,23805102.3323678
4671,4671,IRQ,1987,3.246244524835224,16290149.0,1.29592,22.60766666666667,24311043.1428714
4672,4672,IRQ,1988,4.0792874911413515,16651807.0,0.74683,22.05858333333333,29652832.5638099
4673,4673,IRQ,1989,4.298777889213677,17040190.0,1.02667,22.338416666666664,29678000.5365203
4674,4674,IRQ,1990,2.730149885468577,17469005.0,1.22975,22.5415,28248179.080568
4675,4675,IRQ,1991,2.5438262269673233,17942715.0,0.96858,22.28033333333333,21851451.6566105
4676,4676,IRQ,1992,3.2024835375218594,18458187.0,-0.62592,20.685833333333328,31016364.8470419
4677,4677,IRQ,1993,3.3327566599412357,19011917.0,0.59133,21.90308333333333,37617133.018132895
4678,4678,IRQ,1994,3.640010258587957,19597239.0,1.33067,22.642416666666666,40676959.3092933
4679,4679,IRQ,1995,3.679087549144818,20208387.0,1.11925,22.431,39782039.5128412
4680,4680,IRQ,1996,3.3340212865910805,20845893.0,1.702,23.01375,40636562.162798606
4681,4681,IRQ,1997,3.1757846411580934,21509291.0,0.60942,21.92116666666667,47243347.9599586
4682,4682,IRQ,1998,3.2614284201394756,22190250.0,2.14367,23.455416666666665,35783073.966159
4683,4683,IRQ,1999,3.159516177789853,22878156.0,2.18158,23.493333333333336,28560153.658873804
4684,4684,IRQ,2000,3.0742194927795237,23565413.0,1.67708,22.988833333333336,33295081.323600605
4685,4685,IRQ,2001,3.519022191027093,24251649.0,2.20533,23.517083333333336,38761427.4524817
4686,4686,IRQ,2002,3.4988927315078104,24939299.0,1.58383,22.89558333333333,39540055.890503705
4687,4687,IRQ,2003,3.555445049806798,25627626.0,1.64767,22.95941666666667,37674957.487665005
4688,4688,IRQ,2004,4.335058403611195,26316609.0,1.46717,22.778916666666664,39421451.971654795
4689,4689,IRQ,2005,4.203243313771783,27008426.0,1.38433,22.69608333333333,42503314.9919424
