ISO Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
BTN,0.0,0.31225,0.23025,0.27375,0.31383,0.04875,0.10017,0.06033,0.65358,0.14208,0.45883,0.04283,-0.13242,-0.21817,0.271,-0.35517,0.28392,-0.2485,-0.33208,0.3235,0.14075,-0.198,0.15483,0.41392,0.228,0.28183,0.29292,0.03833,-0.09125,0.477,0.26517,0.09233,0.07858,-0.22667,0.32992,0.43792,0.02725,0.35408,0.68975,0.28392,0.23917,0.02825,-0.13958,0.12133,0.33325,0.462,0.40825,-0.38758,0.62342,0.8485,0.032,0.45933,0.21392,0.26617,0.24167,0.4795,0.88758,0.73308,0.48992,1.14833,0.98083,0.43383,0.31333,1.36496
BWA,0.0,-0.33958,0.34725,-0.50383,-0.30983,-0.68658,-0.27617,0.33917,-0.00483,0.13825,0.02717,0.03308,0.09825,-0.63092,-0.09633,0.11792,0.28575,-0.49167,-0.19417,0.18792,0.73167,-0.04325,-0.066,0.24883,-0.9005,-0.45392,-0.97992,-0.06025,-0.43033,0.24158,-0.27825,-0.5185,0.36367,0.84025,0.40175,0.1485,0.18417,1.02017,0.129,-0.02,0.82067,-0.0645,1.16667,0.55658,0.255,1.08967,0.0755,0.21267,0.94642,0.85383,-0.25183,0.22633,0.8615,1.271,0.22192,1.24467,-0.32017,0.27633,0.187,0.01558,0.606,-0.16908,0.27592,-0.29842
CAF,0.0,0.09042,0.3655,0.24492,0.04317,-0.36642,-0.20108,0.00258,0.41708,0.15,0.15058,-0.14017,-0.12275,0.09483,-0.09917,0.02017,0.10917,-0.1375,-0.10808,0.23275,0.17783,-0.15125,0.1995,0.55275,-0.10983,0.01133,0.03425,0.22508,0.14708,0.42467,0.53458,0.02408,0.00525,0.33825,0.0435,0.05692,0.25375,0.61558,0.28208,0.06642,0.464,0.44792,-0.15983,0.49683,0.43083,0.37992,0.46533,0.79075,0.95242,0.2175,0.36142,0.45825,0.5675,0.76292,0.88808,1.08025,0.95317,0.81592,0.71675,1.259,1.07792,0.38683,0.38758,0.95896
CAN,0.0,0.55975,1.96825,1.99525,1.22675,1.00792,0.33517,0.945,1.69067,0.72492,1.54608,0.88475,1.07908,1.34083,0.49592,0.43625,0.81158,0.67083,1.30717,1.45058,0.84975,1.08333,-0.85,1.77342,0.31183,1.00725,1.1625,2.11217,0.65242,0.94717,1.536,3.08567,0.07775,1.20117,1.31867,1.05175,1.109,2.60958,1.82775,0.87958,0.931,1.52625,1.024,1.55142,1.51925,1.63858,1.01175,1.72142,3.399,2.76658,1.927,2.85283,1.59008,2.09342,1.02983,2.64417,3.49275,1.892,1.65767,1.81783,4.065,2.39583,2.77608,4.31225
CHE,0.0,-0.33058,-0.58983,-0.17933,-1.068,-0.76858,-1.76233,-0.37033,-0.40133,0.18858,-0.51767,0.42708,-1.2435,-1.41383,-0.33892,-1.26533,-0.29225,-0.2475,-0.669,-0.95333,-0.91025,-0.46675,-0.8275,-0.7695,-0.26083,-0.28367,-0.36942,-0.35417,-1.12825,-0.6435,-1.1925,-0.602,0.06767,0.06392,-0.90817,-0.84933,-0.57883,-0.59383,0.19367,0.405,0.52467,-0.32592,0.32875,-0.11358,1.09017,0.021,-0.75633,0.4815,0.22708,0.17192,0.83175,0.24883,0.75392,0.93883,0.11517,-0.157,0.60683,0.82183,0.37875,0.56975,-0.50442,1.11642,0.42833,0.44658
CHL,0.0,0.28283,0.538,0.41967,-0.04175,-0.264,-0.118,0.34408,0.36867,0.06458,0.46217,0.20333,0.54208,0.337,0.14383,0.41458,0.20592,0.27658,0.58492,0.57133,0.36175,-0.13183,0.29408,0.12133,-0.0005,0.12633,0.05325,0.72267,0.66608,0.50525,0.61175,0.66308,0.75833,1.01817,0.1505,0.74792,0.5455,0.97958,0.43325,0.7325,0.53925,0.43342,0.44575,0.65258,0.76233,0.49292,0.466,1.045,1.00042,0.53758,0.27208,0.52767,0.45042,0.78642,0.91383,0.59983,0.882,0.19792,0.8705,0.70242,0.42083,0.74025,0.98058,0.58538
CHN,0.0,0.22833,-0.00025,0.38117,-0.27017,0.0605,-0.34183,-0.25317,0.39242,0.3985,0.24975,0.40942,0.0625,0.41133,0.10492,0.15875,0.32083,-0.23858,0.08583,-0.18517,-0.073,0.20508,0.17325,0.56842,0.01825,0.45975,-0.17,0.21017,0.407,0.43292,0.30892,0.28525,0.50858,0.28392,-0.12325,0.09908,0.229,0.60783,0.57967,0.59858,0.99483,0.456,0.21725,0.27825,0.85483,0.57042,0.3215,0.72617,1.41067,1.19908,0.59692,0.95525,1.1545,0.88083,1.07158,0.77233,1.30683,1.48558,0.92492,1.16833,0.90725,0.71592,0.43592,2.65383
CIV,0.0,0.17625,0.15217,0.20333,-0.0405,-0.05792,-0.112,0.15133,0.25217,0.31017,0.26175,0.18633,0.12817,0.41783,-0.0105,-0.01867,0.30592,-0.07575,0.17767,0.53917,0.43667,-0.01325,0.26183,0.69675,0.06417,-0.03483,-0.2055,0.40308,0.2525,0.53283,0.4465,0.4605,0.143,0.72,0.47892,0.25975,0.24058,1.12117,0.61308,0.51208,0.61725,0.45342,0.296,0.44158,0.367,0.58325,0.54208,0.57958,1.15942,0.53333,0.52108,0.79208,0.88842,1.05808,0.94733,1.03367,0.91025,1.06333,0.877,1.05308,1.26533,0.956,0.67117,1.17987
CMR,0.0,-0.02533,0.02292,-0.01842,-0.2315,-0.31608,-0.2995,0.02575,0.15992,0.07992,0.075,-0.17883,-0.06958,0.12108,-0.14067,-0.09783,0.06642,-0.06725,-0.07692,0.22225,0.17767,-0.18058,0.09983,0.47483,-0.20092,-0.2025,-0.13867,0.24842,0.0745,0.35417,0.336,-0.13233,-0.13667,0.24358,0.05058,-0.05767,0.07417,0.58658,0.24425,-0.214,0.45692,0.30108,-0.13542,0.2295,0.19892,0.38525,0.268,0.38458,0.89033,0.22342,0.18025,0.21917,0.5175,0.57958,0.73808,0.83508,0.86067,0.77708,0.68833,0.97458,1.032,0.44383,0.44425,0.87488
COD,0.0,0.125,0.23833,0.15792,-0.12,-0.19383,-0.302,0.02875,0.31342,0.19292,0.00975,0.03392,-0.02742,-0.00175,-0.08567,-0.06658,0.11842,-0.11683,-0.13275,0.24733,0.207,-0.188,0.194,0.41133,-0.098,-0.07658,-0.08142,0.32758,0.249,0.4125,0.4465,0.31025,0.17358,0.61258,0.239,0.10025,0.22375,0.82567,0.56483,0.15758,0.44942,0.30567,0.375,0.32858,0.46767,0.71233,0.44017,0.77808,0.97975,0.25517,0.44858,0.49867,0.80517,0.80975,0.79017,1.2245,0.76933,0.6275,0.58375,0.78408,1.00133,0.40558,0.44875,0.80279
COG,0.0,-0.02183,-0.01942,-0.12433,-0.43892,-0.42333,-0.37033,-0.11567,-0.04075,-0.05408,-0.10717,-0.33208,-0.12817,-0.00592,-0.246,-0.24525,0.00083,-0.25967,-0.27125,-0.00092,0.04367,-0.37108,-0.13808,0.21583,-0.33008,-0.30417,-0.43775,0.06383,-0.08842,0.19367,0.05908,-0.09717,-0.26408,0.1845,0.01633,-0.18342,-0.11692,0.43283,0.22025,-0.09192,0.06908,0.12408,-0.14758,-0.01758,0.1455,0.3995,-0.02942,0.36308,0.84308,0.11508,0.08858,0.0355,0.35025,0.35933,0.43075,0.5715,0.58525,0.53233,0.595,0.65183,0.862,0.07767,0.17608,0.44196
